9,1,92.96,2000-10-17
15,1,91.16,2000-02-07
19,1,98.68,2000-06-05
35,1,90.65,2000-06-27
41,1,98.28,2000-04-13
46,1,90.27,2000-03-28
79,1,95.16,2000-06-17
80,1,99.28,2000-05-14
85,1,91.84,2000-09-14
89,1,92.27,2000-12-13
94,1,99.84,2000-10-21
101,1,90.4,2000-08-19
124,1,94.19,2000-11-14
137,1,93.86,2000-05-04
159,1,93.11,2000-02-22
165,1,95.68,2000-02-05
176,1,93.8,2000-03-25
180,1,99.65,2000-05-22
182,1,99.57,2000-10-29
190,1,94.35,2000-07-01
193,1,93.65,2000-07-20
202,1,94.85,2000-10-25
205,1,91.19,2000-08-05
209,1,91.23,2000-04-13
218,1,97.78,2000-01-22
220,1,98.14,2000-12-19
234,1,93.19,2000-10-19
293,1,90.74,2000-11-02
300,1,90.3,2000-10-20
310,1,90.9,2000-08-12
316,1,95.17,2000-10-19
317,1,90.31,2000-05-08
332,1,90.34,2000-12-24
334,1,90.97,2000-01-29
342,1,92.73,2000-03-23
355,1,97.57,2000-03-20
364,1,98.39,2000-09-08
367,1,99.27,2000-08-13
369,1,98.19,2000-07-16
372,1,93.12,2000-03-20
376,1,93.85,2000-05-22
385,1,92.33,2000-06-19
392,1,93.29,2000-07-28
398,1,97.81,2000-11-26
399,1,93.97,2000-03-04
403,1,99.06,2000-01-27
407,1,98.6,2000-06-12
408,1,96.32,2000-08-01
425,1,95.41,2000-08-07
426,1,98.63,2000-12-20
464,1,91.65,2000-09-23
473,1,90.19,2000-06-23
476,1,93.75,2000-05-15
479,1,97.87,2000-05-10
491,1,95.7,2000-02-07
498,1,97.95,2000-09-06
509,1,91.19,2000-08-11
517,1,90.72,2000-02-07
519,1,96.72,2000-06-13
528,1,94.38,2000-07-30
533,1,91.51,2000-04-18
544,1,91.7,2000-10-10
550,1,93.45,2000-12-27
554,1,92.72,2000-12-24
557,1,92.28,2000-12-06
571,1,90.05,2000-09-08
582,1,96.3,2000-11-16
584,1,95.63,2000-08-11
593,1,99.06,2000-10-06
595,1,98.49,2000-07-31
596,1,91.83,2000-03-04
600,1,99.52,2000-03-12
601,1,97.16,2000-05-22
615,1,92.4,2000-11-24
683,1,97.68,2000-01-30
689,1,99.65,2000-12-01
702,1,94.42,2000-10-14
703,1,96.92,2000-05-11
704,1,91.7,2000-10-06
714,1,97.52,2000-11-09
718,1,95.6,2000-05-09
724,1,98.92,2000-04-11
730,1,92.92,2000-12-30
744,1,90.79,2000-02-02
752,1,95.77,2000-05-29
753,1,92.85,2000-07-23
782,1,96.62,2000-02-01
783,1,95.73,2000-07-27
796,1,96.72,2000-01-13
802,1,96.22,2000-02-06
805,1,96.49,2000-06-05
816,1,92.77,2000-10-12
834,1,97.21,2000-08-11
851,1,92.76,2000-02-27
867,1,93.08,2000-11-25
868,1,95.63,2000-12-12
891,1,94.74,2000-10-19
918,1,98.56,2000-05-24
947,1,99.67,2000-08-18
950,1,94.65,2000-03-28
1012,1,97.94,2000-04-11
1017,1,97.96,2000-11-12
1024,1,97.56,2000-11-21
1038,1,95.84,2000-10-17
1040,1,94.06,2000-06-20
1042,1,98.66,2000-05-22
1049,1,99.26,2000-02-04
1058,1,96.41,2000-12-14
1074,1,98.57,2000-08-06
1077,1,96.07,2000-08-14
1084,1,94.44,2000-04-06
1095,1,93.61,2000-01-24
1117,1,95.15,2000-10-04
1135,1,99.03,2000-09-23
1183,1,92.61,2000-06-30
1186,1,98.35,2000-03-17
1204,1,92.56,2000-05-27
1218,1,98.2,2000-11-15
1220,1,99.01,2000-06-23
1226,1,95.4,2000-01-19
1236,1,94.2,2000-06-19
1240,1,90.68,2000-07-11
1246,1,92.51,2000-10-20
1248,1,94.92,2000-10-03
1262,1,95.19,2000-08-25
1276,1,98.29,2000-10-20
1279,1,92.76,2000-10-28
1285,1,96.03,2000-10-19
1297,1,90.73,2000-03-03
1304,1,94.01,2000-09-08
1336,1,90.45,2000-08-03
1342,1,99.95,2000-06-08
1350,1,91.04,2000-04-21
1365,1,95.82,2000-05-10
1370,1,99.0,2000-11-26
1375,1,93.85,2000-11-09
1382,1,98.86,2000-12-29
1395,1,95.41,2000-07-20
1397,1,95.64,2000-03-20
1401,1,98.46,2000-01-25
1404,1,94.9,2000-04-19
1419,1,96.87,2000-09-16
1433,1,94.16,2000-07-11
1435,1,91.43,2000-09-01
1463,1,99.28,2000-05-27
1470,1,91.73,2000-10-10
1472,1,95.32,2000-11-29
1481,1,96.91,2000-12-04
1489,1,91.7,2000-09-08
1494,1,94.17,2000-12-03
1497,1,93.68,2000-08-03
1499,1,92.49,2000-01-15
1516,1,91.09,2000-03-06
1525,1,91.19,2000-04-04
1527,1,96.63,2000-06-29
1537,1,97.01,2000-01-20
1539,1,97.1,2000-09-24
1557,1,97.12,2000-10-24
1560,1,97.41,2000-10-06
1561,1,94.73,2000-07-28
1572,1,98.03,2000-07-09
